fold,window,baseline_n,baseline_exp,baseline_ann,rs_only_n,rs_only_exp,rs_only_ann,rs_vol_sized_n,rs_vol_sized_exp,rs_vol_sized_ann,rs_vol_early_n,rs_vol_early_exp,rs_vol_early_ann
F1,2022-09->2023-03,9,-0.9350933368858568,-12.737094910268093,6,-0.998736723891413,-9.069329545889634,6,-0.9987367238914127,-9.06932954588963,6,-0.998736723891413,-9.069329545889634
F2,2023-03->2023-09,33,-0.318968793766989,-15.6709671744781,20,-0.3805814811714491,-11.332123858522156,20,-0.3805814811714491,-11.332123858522158,20,-0.3805814811714491,-11.332123858522158
F3,2023-09->2024-03,26,2.258027905695699,88.36550277378794,13,4.721442530095816,92.38429736343731,13,4.721442530095815,92.38429736343731,13,4.721442530095816,92.38429736343731
F4,2024-03->2024-09,25,-0.6880592779279437,-25.60940739774268,16,-0.9105408640502413,-21.68967721267504,16,-0.9105408640502413,-21.68967721267504,16,-0.9105408640502413,-21.68967721267504
F5,2024-09->2025-03,26,0.7195759724737099,28.31541390578695,17,0.8656151615610583,22.27135749415608,17,0.8656151615610583,22.27135749415608,17,0.8656151615610581,22.271357494156078
F6,2025-03->2025-09,25,0.463178802926896,17.239408060704697,13,0.22577357359059008,4.36968493533228,13,0.22577357359059008,4.36968493533228,13,0.22577357359059008,4.36968493533228
F7,2025-09->2026-03,13,5.261978173906963,103.52978396790222,5,13.436059778316292,101.67515540117458,5,13.436059778316292,101.67515540117458,5,13.436059778316292,101.67515540117458
F8,2026-03->2026-06,0,,,0,,,0,,,0,,
