symbol,side,entry_date,exit_date,entry_price,exit_price,size,pnl_gross,pnl_net,r_multiple,exit_reason,bars_held
BTCUSDT,-1,2020-03-12 00:00:00+00:00,2020-03-13 00:00:00+00:00,4800.0,5762.646772591418,-0.19477549329465393,-187.5,-189.52036026206582,-1.0107752547310178,stop,1
BTCUSDT,1,2020-11-25 00:00:00+00:00,2020-11-26 00:00:00+00:00,18719.11,17418.172914337447,0.14303490482338843,-186.07941222895968,-190.56394429795893,-1.024100097991933,stop,1
BTCUSDT,1,2020-11-30 00:00:00+00:00,2020-12-01 00:00:00+00:00,19695.87,18135.62351503111,0.11834562339731858,-184.64834291711807,-188.51163192417184,-1.0209224136324249,stop,1
BTCUSDT,1,2020-12-16 00:00:00+00:00,2020-12-23 00:00:00+00:00,21335.52,23232.76,0.1280291295526366,242.901985752444,237.54793968061443,1.2964266641948452,structural_invalidation,7
BTCUSDT,1,2021-01-04 00:00:00+00:00,2021-01-10 00:00:00+00:00,31988.71,35378.00355403003,0.0626510577578398,212.34282621180964,208.35318139257257,1.1262406976524688,stop,6
BTCUSDT,1,2021-03-22 00:00:00+00:00,2021-04-16 00:00:00+00:00,54083.25,61334.8,0.03264518018477142,236.7281563688793,233.12404229320484,1.2496551915785417,structural_invalidation,25
BTCUSDT,1,2021-04-21 00:00:00+00:00,2021-04-22 00:00:00+00:00,53787.63,51690.96,0.037412094887515776,-78.44081698780764,-81.92177776843184,-0.43514410389344,structural_invalidation,1
BTCUSDT,-1,2021-05-19 00:00:00+00:00,2021-07-18 00:00:00+00:00,36690.09,31778.56,-0.026364390401501923,129.48949438868863,127.98141413666103,0.6820303005129364,time_stop,60
BTCUSDT,-1,2022-06-01 00:00:00+00:00,2022-06-21 00:00:00+00:00,29805.83,20723.52,-0.07098888263882183,644.743038679398,642.09498752694,3.4036398751631,structural_invalidation,20
BTCUSDT,-1,2022-07-01 00:00:00+00:00,2022-07-07 00:00:00+00:00,19279.8,21591.068541379253,-0.08371709162046512,-193.4926802381457,-196.746254872018,-1.016814975273834,stop,6
