fold,window,fixed_n,fixed_exp,fixed_ann,static_n,static_exp,static_ann,dynamic_n,dynamic_exp,dynamic_ann
F1,2022-09->2023-03,9,-0.9849174260053343,-13.415758875563682,13,-0.9569351703307623,-18.82776556294078,39,-0.7845465968052383,-46.30802542061361
F2,2023-03->2023-09,38,-0.2509410821770289,-14.196753057375295,48,-0.2924688960940356,-20.900399536633014,115,-0.1330734980718473,-22.78363836128542
F3,2023-09->2024-03,26,3.840408363478834,150.29026658149758,40,2.982831748309814,179.58449935222407,109,1.8656085605540675,306.07448247906046
F4,2024-03->2024-09,29,-0.608946896096987,-26.29124087031241,46,-0.4746843202700543,-32.5084589959945,121,-0.3790455571108954,-68.28266232841834
F5,2024-09->2025-03,31,1.077510842966293,50.55408520937815,46,2.164327981519755,150.67937810015536,118,0.6358165935298757,113.54990582668871
F6,2025-03->2025-09,31,0.27057753541700724,12.487833379658635,56,-0.08349721340746298,-6.961353273245575,128,-0.30139278143891424,-57.43498091507657
F7,2025-09->2026-03,14,0.1299459119638497,2.753363622211928,26,2.7263635180902535,107.28278100639817,70,0.13836980884212882,14.659268318664898
F8,2026-03->2026-06,0,,,0,,,0,,
