symbol,n_trades,win_rate,expectancy_r,trade_sharpe,ci_lower,ci_upper,is_starred,ann_R,total_R,volume_24h
ENAUSDT,9,0.6666666666666666,1.145494002820456,3.462093448647359,0.012900608020347561,2.3553000008495606,True,7.064775160922222,10.309446025384105,491824976.19789
SAGAUSDT,7,0.7142857142857143,0.7720877849102499,3.348315426060674,-0.13395344652575938,1.775094281829686,False,3.745797806583077,5.404614494371749,15396287.242909
PENDLEUSDT,12,0.6666666666666666,1.1505809122087813,3.2299122198155192,0.15988172335700504,2.379926021265389,True,6.120140944430933,13.806970946505375,44868649.2158
IDUSDT,14,0.5714285714285714,0.9437567600044681,2.2502800361809894,-0.08730230359675906,2.2312074847040786,False,5.178004498157562,13.212594640062553,11570832.81818
FETUSDT,29,0.41379310344827586,2.6196034347438863,2.028809543419842,0.27909563143491667,5.551052361761028,True,13.866813833916009,75.96849960757271,137246053.3161
GALAUSDT,21,0.42857142857142855,1.0078690881249477,1.8826891553365346,-0.07805600806902928,2.4548796988387136,False,5.119607863039986,21.165250850623902,20143023.1363571
ALGOUSDT,32,0.375,1.1570345698561673,1.732553247205742,0.01607611105211812,2.598109836213089,True,6.658503226232833,37.02510623539735,37555002.9189
ETHUSDT,30,0.5333333333333333,1.7540034357145273,1.6572150804270986,0.2035071300263081,4.314196198650305,True,9.509892452667954,52.62010307143582,18502258521.48
SOLUSDT,31,0.3548387096774194,2.7168538965690705,1.575667648385641,-0.24517683672298224,6.174598233171604,False,16.063842014296313,84.22247079364118,3399159419.3502
AXSUSDT,26,0.34615384615384615,2.2338855786177123,1.5735108700508051,-0.18430111389775905,5.757311695914275,False,11.75296088495463,58.081025044060524,17702370.584
EGLDUSDT,24,0.5416666666666666,3.288647112244196,1.562164760868897,0.14600201014716238,8.822685375462202,True,15.490747225111566,78.9275306938607,8124853.025
AVAXUSDT,31,0.3548387096774194,1.782756088051422,1.533684116160427,-0.22042753515788407,4.167440169837149,False,10.911189997829316,55.26543872959408,175443774.737
CAKEUSDT,24,0.4166666666666667,0.7196155819371416,1.5330369776869501,-0.19943838854046295,1.8484846442218223,False,3.6675291809656874,17.270773966491397,12581531.2641
ROSEUSDT,24,0.4583333333333333,1.2094561267060593,1.4990016197994322,-0.1709347678341367,3.2388710295516483,False,6.044522466764718,29.026947040945423,9853147.36819
ADAUSDT,36,0.3055555555555556,1.797290863496623,1.483143667704423,0.006061659942063279,4.235834812457325,True,11.578920903536059,64.70247108587843,419425522.3975
THETAUSDT,35,0.37142857142857144,1.0079376245572667,1.4764310608494042,-0.06415517229958866,2.3692056626610314,False,6.218736779890906,35.277816859504334,8498476.8689
TRXUSDT,30,0.43333333333333335,0.6777284856062215,1.4616156144710357,-0.1338614212705804,1.56386846653541,False,3.6564302713097843,20.331854568186642,91078340.5796
RUNEUSDT,31,0.41935483870967744,1.1526045187152882,1.4207954254306714,-0.12777210701526312,2.944801212533825,False,6.92342324365174,35.73074008017394,8122967.1293
JASMYUSDT,22,0.36363636363636365,0.6769394573462137,1.4200550270529233,-0.22538438001336528,1.9603691550745612,False,3.844202833572792,14.892668061616703,9082347.667054
ATOMUSDT,32,0.34375,0.6073300929298808,1.407255252281002,-0.15750272739501384,1.409133558074631,False,3.4985086871189983,19.434562973756186,28585581.979
SUIUSDT,19,0.3684210526315789,0.8622483098276058,1.388119753561254,-0.37159721780659244,2.685599066882657,False,6.776656521094143,16.38271788672451,426104415.52338
BNBUSDT,32,0.40625,2.481739471453456,1.353582342782196,-0.13987089605626005,6.498448076122413,False,14.184142270096817,79.41566308651059,1026384935.831
STXUSDT,35,0.34285714285714286,0.7342481835130882,1.3392507917712198,-0.11844358558793813,1.7703830647056602,False,4.589948760873076,25.698686422958087,12188032.0782
SANDUSDT,32,0.3125,2.000271634292736,1.2997873323830609,-0.22709671678383095,5.440815416727793,False,12.343809325033526,64.00869229736755,16290628.52901
MANAUSDT,30,0.4,1.4183408741188535,1.2997346296646621,-0.17814001081224576,3.9569007295671814,False,8.205633647390357,42.5502262235656,8488039.4534
