n_entry,n_exit,trades,hit_rate,expectancy_R,sharpe,max_dd,CAGR,profit_factor
20,10,787,0.3697585768742058,0.5430816549267395,1.037870687212143,-0.028037047892380804,0.0503598472333211,2.155629468974327
40,15,495,0.3575757575757576,0.7495075949191409,0.945294903372424,-0.032670909316043925,0.042107852494540854,2.32418251384158
55,20,377,0.3713527851458886,1.1036172765616858,0.9973822466802388,-0.038067294198247524,0.047960343110899695,2.8100136833789016
100,30,244,0.3237704918032787,1.4332301924096449,0.8792529113868714,-0.04667242231152003,0.03780648984734625,3.0971968213882346
200,50,135,0.3333333333333333,2.1650671307816354,0.8458010238046837,-0.02929502401168645,0.0322173986377845,3.9874855837729997
