fold,macro_on_n,macro_on_exp,macro_on_ann,bear_shorts_n,bear_shorts_exp,bear_shorts_ann,combined_n,combined_exp,combined_ann
F1,4,-0.9910603182161359,-5.999747755167574,10,-0.20844444840144138,-3.1547376289486104,14,-0.43204898263421126,-9.154485384116185
F2,23,-0.5903173782022781,-20.213758348910822,3,-1.0112177549513792,-4.516474952396631,26,-0.6388828062887129,-24.730233301307454
F3,15,4.660531357397875,105.2220584107566,0,,,15,4.660531357397875,105.2220584107566
F4,11,-0.41886574014584776,-6.859637883713232,0,,,11,-0.41886574014584776,-6.859637883713232
F5,14,1.4313885042430432,30.329026725608287,1,-1.0134342898392137,-1.5337992031648044,15,1.268400317970893,28.79522752244349
F6,15,0.03698571199549659,0.8259597945461697,0,,,15,0.03698571199549662,0.8259597945461704
F7,7,9.485453636440814,100.49143750678198,8,-0.2712185458732972,-3.28384222807365,15,4.281895139206623,97.20759527870835
F8,0,,,5,-0.043404246930504,-0.6461984181263554,5,-0.04340424693050404,-0.6461984181263561
