fold,window,rs_only_n,rs_only_exp,rs_only_ann,rs_mtf_confirm_n,rs_mtf_confirm_exp,rs_mtf_confirm_ann
F1,2022-09->2023-03,6,-0.998736723891413,-9.069329545889634,2,-0.9694626962075845,-2.934499307650444
F2,2023-03->2023-09,20,-0.3805814811714491,-11.332123858522158,7,-0.6802180711048624,-7.088916657462054
F3,2023-09->2024-03,13,4.721442530095816,92.38429736343731,12,2.993674789054065,54.071194781966895
F4,2024-03->2024-09,16,-0.9105408640502413,-21.68967721267504,4,-1.0142773989698077,-6.040187282180256
F5,2024-09->2025-03,17,0.8656151615610584,22.271357494156085,6,0.5025786323739412,4.56381660019679
F6,2025-03->2025-09,13,0.22577357359059008,4.36968493533228,9,0.04541811203507337,0.6085625901656044
F7,2025-09->2026-03,5,13.436059778316292,101.67515540117458,4,8.752728900781051,52.987860182490806
F8,2026-03->2026-06,0,,,0,,
