fold,window,base_n,base_exp,base_ann,dv_n,dv_exp,dv_ann,df_n,df_exp,df_ann
F1,2022-09->2023-03,9,-0.9849174260053343,-13.415758875563682,9,-0.9849174260053343,-13.415758875563682,9,-0.9849174260053343,-13.415758875563682
F2,2023-03->2023-09,38,-0.25094108217702893,-14.196753057375297,38,-0.25094108217702893,-14.196753057375297,38,-0.25094108217702893,-14.196753057375297
F3,2023-09->2024-03,26,3.840408363478834,150.29026658149758,26,3.840408363478834,150.29026658149758,26,3.840408363478834,150.29026658149758
F4,2024-03->2024-09,29,-0.6089468960969869,-26.291240870312404,29,-0.6089468960969869,-26.291240870312404,29,-0.6089468960969868,-26.2912408703124
F5,2024-09->2025-03,31,1.0775108429662927,50.554085209378144,31,1.0775108429662927,50.554085209378144,31,1.0775108429662927,50.554085209378144
F6,2025-03->2025-09,31,0.27057753541700724,12.487833379658635,31,0.27057753541700724,12.487833379658635,31,0.2705775354170072,12.487833379658632
F7,2025-09->2026-03,14,0.1299459119638497,2.753363622211928,14,0.1299459119638497,2.7533636222119284,14,0.12994591196384966,2.7533636222119275
F8,2026-03->2026-06,0,,,0,,,0,,
