hour,full_mean,full_t,oos_mean
0,0.00011378526172155693,0.8061624614275257,0.00016465665319216686
1,-5.4161498037963984e-05,-0.3917952393488221,-8.589306833042007e-05
2,-0.00016899433075574547,-1.3133670771373416,4.105791381070519e-05
3,-8.057832455547832e-05,-0.6933569926684028,8.52845295119745e-05
4,-0.00013684583963347152,-1.3154978163009208,6.448891455965493e-05
5,7.861416407030285e-05,0.770005883867468,-8.488797480975447e-06
6,6.68223481212723e-05,0.6114282371023001,2.5764151853146637e-05
7,6.848651902133719e-05,0.6320612433053105,-5.819802437483558e-05
8,0.00016670111014615405,1.3046630400788506,0.00022889787689528787
9,1.825275355607298e-05,0.16444415724885855,0.00010884348214270476
10,9.207613378388312e-05,0.6664926408899741,6.128275838695316e-05
11,7.551166081622793e-05,0.7022529119952284,0.00012753721774107427
12,0.00010616447843686049,0.7259920513221538,5.171928810185487e-05
13,0.00010223305761712987,0.7175093621356622,-0.0002504380773457219
14,-0.00014803062087610487,-0.8874751917111862,3.672356762083757e-05
15,0.00020085749288441355,1.2946016527067103,5.724358439093685e-05
16,3.717317704822204e-05,0.26870263648373216,-9.589146375236729e-05
17,3.47233398641809e-05,0.27156169965228005,0.0001722759868115125
18,-3.093769822917615e-05,-0.23386069346297508,0.000102049857326622
19,2.170921176824844e-05,0.16551426858054868,-0.00015138519364631405
20,0.00021389459052681019,1.5598547238044795,0.0001187001481308279
21,0.0004557608948751744,3.3626113514823825,0.00013762472508300992
22,0.00032660953896659054,2.6336743975181873,0.000493504314957861
23,-0.00030707940761171243,-2.1766017323375975,-0.00017195100947149083
