pair,entry_time,exit_time,days,entry_z,gross_pct,net_pct,exit_reason
ETHUSDT/ZECUSDT,2020-08-20 00:00:00+00:00,2020-09-02 00:00:00+00:00,13,2.53,-9.483,-9.843,spread_blowout
BNBUSDT/XRPUSDT,2020-08-27 00:00:00+00:00,2020-09-02 00:00:00+00:00,6,3.22,-3.837,-4.197,spread_blowout
ETHUSDT/XRPUSDT,2020-08-30 00:00:00+00:00,2020-09-29 00:00:00+00:00,30,2.16,-1.433,-1.793,time_stop
BTCUSDT/ETHUSDT,2020-09-01 00:00:00+00:00,2020-09-03 00:00:00+00:00,2,-2.28,-6.975,-7.335,spread_blowout
BNBUSDT/BTCUSDT,2020-09-02 00:00:00+00:00,2020-09-06 00:00:00+00:00,4,2.69,-7.202,-7.562,spread_blowout
XRPUSDT/ZECUSDT,2020-09-03 00:00:00+00:00,2020-09-21 00:00:00+00:00,18,3.54,-3.234,-3.594,spread_blowout
BNBUSDT/ZECUSDT,2020-09-03 00:00:00+00:00,2020-09-06 00:00:00+00:00,3,3.28,-9.853,-10.213,spread_blowout
BNBUSDT/ETHUSDT,2020-09-03 00:00:00+00:00,2020-09-06 00:00:00+00:00,3,-2.19,17.034,16.674,converged
BTCUSDT/ETHUSDT,2020-09-04 00:00:00+00:00,2020-10-04 00:00:00+00:00,30,-3.44,5.688,5.328,time_stop
ETHUSDT/ZECUSDT,2020-09-06 00:00:00+00:00,2020-10-06 00:00:00+00:00,30,2.63,8.282,7.922,time_stop
BNBUSDT/ZECUSDT,2020-09-07 00:00:00+00:00,2020-09-08 00:00:00+00:00,1,3.1,-7.029,-7.389,spread_blowout
BNBUSDT/BTCUSDT,2020-09-07 00:00:00+00:00,2020-09-09 00:00:00+00:00,2,2.66,-10.702,-11.062,spread_blowout
BNBUSDT/XRPUSDT,2020-09-07 00:00:00+00:00,2020-09-08 00:00:00+00:00,1,2.81,-5.125,-5.485,spread_blowout
BNBUSDT/ETHUSDT,2020-09-08 00:00:00+00:00,2020-09-09 00:00:00+00:00,1,3.45,-2.94,-3.3,spread_blowout
BNBUSDT/LINKUSDT,2020-09-09 00:00:00+00:00,2020-09-12 00:00:00+00:00,3,2.13,-14.213,-14.573,spread_blowout
BNBUSDT/BTCUSDT,2020-09-10 00:00:00+00:00,2020-09-12 00:00:00+00:00,2,3.56,-13.409,-13.769,spread_blowout
BNBUSDT/ETHUSDT,2020-09-10 00:00:00+00:00,2020-09-12 00:00:00+00:00,2,3.03,-11.604,-11.964,spread_blowout
BNBUSDT/XRPUSDT,2020-09-10 00:00:00+00:00,2020-09-11 00:00:00+00:00,1,3.87,-3.616,-3.976,spread_blowout
BTCUSDT/XRPUSDT,2020-10-12 00:00:00+00:00,2020-10-20 00:00:00+00:00,8,2.16,-6.029,-6.389,spread_blowout
ADAUSDT/XRPUSDT,2020-11-15 00:00:00+00:00,2020-11-17 00:00:00+00:00,2,-2.45,-9.083,-9.443,spread_blowout
DOGEUSDT/XRPUSDT,2020-12-01 00:00:00+00:00,2020-12-17 00:00:00+00:00,16,-2.36,13.429,13.069,converged
DOGEUSDT/XRPUSDT,2020-12-18 00:00:00+00:00,2020-12-20 00:00:00+00:00,2,3.25,-19.78,-20.14,spread_blowout
ADAUSDT/XRPUSDT,2020-12-22 00:00:00+00:00,2020-12-23 00:00:00+00:00,1,2.45,-14.639,-14.999,spread_blowout
ETHUSDT/XRPUSDT,2020-12-22 00:00:00+00:00,2020-12-23 00:00:00+00:00,1,2.45,-18.758,-19.118,spread_blowout
BTCUSDT/ETHUSDT,2020-12-23 00:00:00+00:00,2021-01-03 00:00:00+00:00,11,2.57,23.681,23.321,converged
DOGEUSDT/ETHUSDT,2021-01-01 00:00:00+00:00,2021-01-02 00:00:00+00:00,1,3.54,-57.09,-57.45,spread_blowout
ADAUSDT/ETHUSDT,2021-01-03 00:00:00+00:00,2021-01-06 00:00:00+00:00,3,-2.0,27.821,27.461,converged
BTCUSDT/ETHUSDT,2021-01-04 00:00:00+00:00,2021-01-16 00:00:00+00:00,12,-3.28,-7.679,-8.039,spread_blowout
ADAUSDT/BTCUSDT,2021-01-16 00:00:00+00:00,2021-02-01 00:00:00+00:00,16,2.36,-22.343,-22.703,spread_blowout
ADAUSDT/DOGEUSDT,2021-01-17 00:00:00+00:00,2021-01-28 00:00:00+00:00,11,2.19,113.634,113.274,converged
BNBUSDT/DOGEUSDT,2021-01-17 00:00:00+00:00,2021-01-21 00:00:00+00:00,4,2.28,13.721,13.361,converged
ADAUSDT/ETHUSDT,2021-01-17 00:00:00+00:00,2021-01-24 00:00:00+00:00,7,2.6,19.857,19.497,converged
BTCUSDT/ETHUSDT,2021-01-19 00:00:00+00:00,2021-01-24 00:00:00+00:00,5,-2.82,-12.441,-12.801,spread_blowout
ADAUSDT/UNIUSDT,2021-01-24 00:00:00+00:00,2021-01-27 00:00:00+00:00,3,-2.68,-34.022,-34.382,spread_blowout
ETHUSDT/UNIUSDT,2021-01-24 00:00:00+00:00,2021-01-27 00:00:00+00:00,3,-2.47,-31.419,-31.779,spread_blowout
BTCUSDT/ETHUSDT,2021-01-25 00:00:00+00:00,2021-02-19 00:00:00+00:00,25,-2.48,21.417,21.057,converged
AAVEUSDT/ADAUSDT,2021-01-26 00:00:00+00:00,2021-02-13 00:00:00+00:00,18,2.11,47.001,46.641,converged
LINKUSDT/UNIUSDT,2021-01-27 00:00:00+00:00,2021-02-13 00:00:00+00:00,17,-2.07,30.583,30.223,converged
AAVEUSDT/ETHUSDT,2021-01-27 00:00:00+00:00,2021-02-26 00:00:00+00:00,30,2.38,6.086,5.726,time_stop
ADAUSDT/UNIUSDT,2021-01-28 00:00:00+00:00,2021-02-09 00:00:00+00:00,12,-2.29,42.295,41.935,converged
ETHUSDT/UNIUSDT,2021-01-28 00:00:00+00:00,2021-01-30 00:00:00+00:00,2,-2.39,-23.869,-24.229,spread_blowout
BNBUSDT/BTCUSDT,2021-01-30 00:00:00+00:00,2021-02-01 00:00:00+00:00,2,2.03,-15.145,-15.505,spread_blowout
BNBUSDT/DOGEUSDT,2021-01-30 00:00:00+00:00,2021-02-05 00:00:00+00:00,6,-2.47,27.714,27.354,converged
AAVEUSDT/UNIUSDT,2021-01-30 00:00:00+00:00,2021-02-04 00:00:00+00:00,5,-2.35,35.945,35.585,converged
DOGEUSDT/ETHUSDT,2021-01-30 00:00:00+00:00,2021-01-31 00:00:00+00:00,1,3.59,-34.376,-34.736,spread_blowout
BNBUSDT/ETHUSDT,2021-02-01 00:00:00+00:00,2021-02-05 00:00:00+00:00,4,3.11,-17.945,-18.305,spread_blowout
BNBUSDT/BTCUSDT,2021-02-02 00:00:00+00:00,2021-02-04 00:00:00+00:00,2,3.68,-7.269,-7.629,spread_blowout
AAVEUSDT/AVAXUSDT,2021-02-04 00:00:00+00:00,2021-02-08 00:00:00+00:00,4,2.37,54.517,54.157,converged
