pair,entry_time,exit_time,days,entry_z,gross_pct,net_pct,exit_reason
BNBUSDT/SOLUSDT,2022-05-21 00:00:00+00:00,2022-05-24 00:00:00+00:00,3,2.62,-5.59,-5.95,spread_blowout
BNBUSDT/COTIUSDT,2022-05-21 00:00:00+00:00,2022-06-01 00:00:00+00:00,11,2.35,8.386,8.026,converged
BNBUSDT/ETHUSDT,2022-05-21 00:00:00+00:00,2022-05-24 00:00:00+00:00,3,2.43,-4.817,-5.177,spread_blowout
SOLUSDT/UNIUSDT,2022-05-23 00:00:00+00:00,2022-06-22 00:00:00+00:00,30,-2.02,-24.278,-24.638,spread_blowout
UNIUSDT/XRPUSDT,2022-05-23 00:00:00+00:00,2022-06-12 00:00:00+00:00,20,2.41,15.25,14.89,converged
BTCUSDT/UNIUSDT,2022-05-23 00:00:00+00:00,2022-05-26 00:00:00+00:00,3,-2.24,7.308,6.948,converged
ADAUSDT/BNBUSDT,2022-05-23 00:00:00+00:00,2022-05-31 00:00:00+00:00,8,-2.35,17.713,17.353,converged
LINKUSDT/UNIUSDT,2022-05-23 00:00:00+00:00,2022-06-04 00:00:00+00:00,12,-3.62,15.556,15.196,converged
BNBUSDT/BTCUSDT,2022-05-23 00:00:00+00:00,2022-06-01 00:00:00+00:00,9,2.02,7.505,7.145,converged
AAVEUSDT/DOGEUSDT,2022-05-23 00:00:00+00:00,2022-06-22 00:00:00+00:00,30,2.1,1.749,1.389,time_stop
BNBUSDT/DOGEUSDT,2022-05-23 00:00:00+00:00,2022-06-15 00:00:00+00:00,23,2.09,11.102,10.742,converged
AVAXUSDT/UNIUSDT,2022-05-24 00:00:00+00:00,2022-05-25 00:00:00+00:00,1,-3.48,-7.008,-7.368,spread_blowout
AAVEUSDT/ADAUSDT,2022-05-24 00:00:00+00:00,2022-06-07 00:00:00+00:00,14,2.06,24.652,24.292,converged
AAVEUSDT/SOLUSDT,2022-05-24 00:00:00+00:00,2022-05-26 00:00:00+00:00,2,3.48,-8.351,-8.711,spread_blowout
AAVEUSDT/ETHUSDT,2022-05-24 00:00:00+00:00,2022-05-26 00:00:00+00:00,2,3.77,-11.662,-12.022,spread_blowout
BNBUSDT/LINKUSDT,2022-05-24 00:00:00+00:00,2022-06-04 00:00:00+00:00,11,2.05,9.588,9.228,converged
AVAXUSDT/COTIUSDT,2022-05-24 00:00:00+00:00,2022-05-31 00:00:00+00:00,7,-2.01,-22.682,-23.042,spread_blowout
AVAXUSDT/BNBUSDT,2022-05-25 00:00:00+00:00,2022-06-13 00:00:00+00:00,19,-3.45,50.511,50.151,converged
AVAXUSDT/LINKUSDT,2022-05-25 00:00:00+00:00,2022-05-26 00:00:00+00:00,1,-2.94,-7.766,-8.126,spread_blowout
BNBUSDT/ETHUSDT,2022-05-25 00:00:00+00:00,2022-06-17 00:00:00+00:00,23,3.31,-2.434,-2.794,spread_blowout
COTIUSDT/SOLUSDT,2022-05-25 00:00:00+00:00,2022-05-31 00:00:00+00:00,6,2.4,-16.028,-16.388,spread_blowout
BNBUSDT/SOLUSDT,2022-05-25 00:00:00+00:00,2022-06-02 00:00:00+00:00,8,3.55,-1.797,-2.157,spread_blowout
1000SHIBUSDT/BNBUSDT,2022-05-25 00:00:00+00:00,2022-06-13 00:00:00+00:00,19,-3.02,41.141,40.781,converged
AVAXUSDT/XRPUSDT,2022-05-26 00:00:00+00:00,2022-06-12 00:00:00+00:00,17,-3.19,-10.125,-10.485,spread_blowout
COTIUSDT/ETHUSDT,2022-05-26 00:00:00+00:00,2022-06-03 00:00:00+00:00,8,2.63,-9.89,-10.25,spread_blowout
1000SHIBUSDT/COTIUSDT,2022-05-26 00:00:00+00:00,2022-06-08 00:00:00+00:00,13,-2.04,-18.073,-18.433,spread_blowout
AVAXUSDT/UNIUSDT,2022-05-26 00:00:00+00:00,2022-05-31 00:00:00+00:00,5,-3.17,-8.221,-8.581,spread_blowout
AVAXUSDT/LINKUSDT,2022-05-27 00:00:00+00:00,2022-05-31 00:00:00+00:00,4,-3.28,-8.988,-9.348,spread_blowout
AVAXUSDT/BTCUSDT,2022-05-27 00:00:00+00:00,2022-05-31 00:00:00+00:00,4,-3.03,-11.659,-12.019,spread_blowout
AAVEUSDT/SOLUSDT,2022-05-27 00:00:00+00:00,2022-05-30 00:00:00+00:00,3,2.83,-10.938,-11.298,spread_blowout
AAVEUSDT/ETHUSDT,2022-05-27 00:00:00+00:00,2022-06-01 00:00:00+00:00,5,3.34,-5.958,-6.318,spread_blowout
ADAUSDT/SOLUSDT,2022-05-30 00:00:00+00:00,2022-05-31 00:00:00+00:00,1,2.36,-12.208,-12.568,spread_blowout
BTCUSDT/LINKUSDT,2022-05-30 00:00:00+00:00,2022-06-04 00:00:00+00:00,5,2.2,5.8,5.44,converged
ADAUSDT/AVAXUSDT,2022-05-30 00:00:00+00:00,2022-06-07 00:00:00+00:00,8,2.23,-15.028,-15.388,spread_blowout
BTCUSDT/SOLUSDT,2022-05-30 00:00:00+00:00,2022-06-13 00:00:00+00:00,14,2.09,10.548,10.188,converged
AAVEUSDT/COTIUSDT,2022-05-30 00:00:00+00:00,2022-06-08 00:00:00+00:00,9,2.11,28.677,28.317,converged
ADAUSDT/ETHUSDT,2022-05-31 00:00:00+00:00,2022-06-02 00:00:00+00:00,2,3.89,-1.727,-2.087,spread_blowout
AAVEUSDT/SOLUSDT,2022-05-31 00:00:00+00:00,2022-06-16 00:00:00+00:00,16,2.96,32.353,31.993,converged
1000SHIBUSDT/ADAUSDT,2022-05-31 00:00:00+00:00,2022-06-08 00:00:00+00:00,8,-2.85,-12.704,-13.064,spread_blowout
AAVEUSDT/BNBUSDT,2022-06-01 00:00:00+00:00,2022-06-21 00:00:00+00:00,20,2.08,-17.992,-18.352,spread_blowout
AVAXUSDT/LINKUSDT,2022-06-01 00:00:00+00:00,2022-06-04 00:00:00+00:00,3,-3.28,-5.498,-5.858,spread_blowout
AVAXUSDT/BTCUSDT,2022-06-01 00:00:00+00:00,2022-06-13 00:00:00+00:00,12,-2.58,39.76,39.4,converged
AVAXUSDT/UNIUSDT,2022-06-01 00:00:00+00:00,2022-06-21 00:00:00+00:00,20,-2.41,-22.628,-22.988,spread_blowout
AVAXUSDT/COTIUSDT,2022-06-01 00:00:00+00:00,2022-07-01 00:00:00+00:00,30,-2.77,-2.648,-3.008,time_stop
ADAUSDT/SOLUSDT,2022-06-02 00:00:00+00:00,2022-06-07 00:00:00+00:00,5,3.67,-7.746,-8.106,spread_blowout
AAVEUSDT/ETHUSDT,2022-06-02 00:00:00+00:00,2022-06-21 00:00:00+00:00,19,2.82,-17.642,-18.002,spread_blowout
COTIUSDT/SOLUSDT,2022-06-02 00:00:00+00:00,2022-06-03 00:00:00+00:00,1,3.55,-4.533,-4.893,spread_blowout
ADAUSDT/ETHUSDT,2022-06-03 00:00:00+00:00,2022-06-07 00:00:00+00:00,4,3.13,-6.28,-6.64,spread_blowout
COTIUSDT/ETHUSDT,2022-06-04 00:00:00+00:00,2022-06-11 00:00:00+00:00,7,2.23,-14.476,-14.836,spread_blowout
COTIUSDT/SOLUSDT,2022-06-04 00:00:00+00:00,2022-06-08 00:00:00+00:00,4,3.17,-11.49,-11.85,spread_blowout
LINKUSDT/XRPUSDT,2022-06-04 00:00:00+00:00,2022-06-07 00:00:00+00:00,3,2.1,-11.779,-12.139,spread_blowout
ETHUSDT/LINKUSDT,2022-06-04 00:00:00+00:00,2022-06-09 00:00:00+00:00,5,-2.01,-14.426,-14.786,spread_blowout
AVAXUSDT/LINKUSDT,2022-06-05 00:00:00+00:00,2022-06-07 00:00:00+00:00,2,-3.74,-16.644,-17.004,spread_blowout
1000SHIBUSDT/LINKUSDT,2022-06-06 00:00:00+00:00,2022-06-07 00:00:00+00:00,1,-2.57,-11.709,-12.069,spread_blowout
BNBUSDT/LINKUSDT,2022-06-06 00:00:00+00:00,2022-06-09 00:00:00+00:00,3,-2.01,-7.984,-8.344,spread_blowout
ADAUSDT/BNBUSDT,2022-06-06 00:00:00+00:00,2022-06-13 00:00:00+00:00,7,2.41,-27.589,-27.949,spread_blowout
BNBUSDT/BTCUSDT,2022-06-06 00:00:00+00:00,2022-06-23 00:00:00+00:00,17,-2.22,8.958,8.598,converged
DOGEUSDT/LINKUSDT,2022-06-07 00:00:00+00:00,2022-06-13 00:00:00+00:00,6,-2.34,-15.419,-15.779,spread_blowout
BTCUSDT/ETHUSDT,2022-06-07 00:00:00+00:00,2022-06-24 00:00:00+00:00,17,2.14,9.294,8.934,converged
BTCUSDT/LINKUSDT,2022-06-07 00:00:00+00:00,2022-06-09 00:00:00+00:00,2,-2.2,-6.364,-6.724,spread_blowout
BNBUSDT/COTIUSDT,2022-06-07 00:00:00+00:00,2022-06-13 00:00:00+00:00,6,-2.58,-13.297,-13.657,spread_blowout
ADAUSDT/UNIUSDT,2022-06-07 00:00:00+00:00,2022-06-21 00:00:00+00:00,14,2.35,15.843,15.483,converged
LINKUSDT/XRPUSDT,2022-06-08 00:00:00+00:00,2022-06-09 00:00:00+00:00,1,3.86,-6.377,-6.737,spread_blowout
ADAUSDT/DOGEUSDT,2022-06-08 00:00:00+00:00,2022-07-08 00:00:00+00:00,30,2.37,15.376,15.016,time_stop
ADAUSDT/XRPUSDT,2022-06-08 00:00:00+00:00,2022-07-08 00:00:00+00:00,30,2.19,16.499,16.139,time_stop
COTIUSDT/UNIUSDT,2022-06-08 00:00:00+00:00,2022-06-19 00:00:00+00:00,11,2.05,20.679,20.319,converged
COTIUSDT/DOGEUSDT,2022-06-08 00:00:00+00:00,2022-06-13 00:00:00+00:00,5,2.66,-17.149,-17.509,spread_blowout
ADAUSDT/AVAXUSDT,2022-06-08 00:00:00+00:00,2022-07-08 00:00:00+00:00,30,2.91,19.522,19.162,time_stop
ADAUSDT/BTCUSDT,2022-06-08 00:00:00+00:00,2022-06-13 00:00:00+00:00,5,3.05,-19.988,-20.348,spread_blowout
1000SHIBUSDT/COTIUSDT,2022-06-09 00:00:00+00:00,2022-06-21 00:00:00+00:00,12,-2.56,36.008,35.648,converged
LINKUSDT/ZECUSDT,2022-06-09 00:00:00+00:00,2022-06-16 00:00:00+00:00,7,2.67,-15.176,-15.536,spread_blowout
BNBUSDT/LINKUSDT,2022-06-10 00:00:00+00:00,2022-06-13 00:00:00+00:00,3,-2.21,-11.889,-12.249,spread_blowout
BTCUSDT/LINKUSDT,2022-06-10 00:00:00+00:00,2022-06-13 00:00:00+00:00,3,-2.76,-10.888,-11.248,spread_blowout
LINKUSDT/UNIUSDT,2022-06-10 00:00:00+00:00,2022-06-14 00:00:00+00:00,4,2.99,-6.854,-7.214,spread_blowout
COTIUSDT/SOLUSDT,2022-06-10 00:00:00+00:00,2022-06-18 00:00:00+00:00,8,2.05,23.268,22.908,converged
1000SHIBUSDT/ADAUSDT,2022-06-10 00:00:00+00:00,2022-06-21 00:00:00+00:00,11,-2.11,25.35,24.99,converged
AAVEUSDT/ADAUSDT,2022-06-11 00:00:00+00:00,2022-06-18 00:00:00+00:00,7,-2.32,-24.509,-24.869,spread_blowout
ETHUSDT/XRPUSDT,2022-06-11 00:00:00+00:00,2022-06-13 00:00:00+00:00,2,-2.18,-13.088,-13.448,spread_blowout
1000SHIBUSDT/ETHUSDT,2022-06-11 00:00:00+00:00,2022-06-13 00:00:00+00:00,2,2.02,-21.959,-22.319,spread_blowout
ETHUSDT/ZECUSDT,2022-06-12 00:00:00+00:00,2022-07-12 00:00:00+00:00,30,-2.12,1.074,0.714,time_stop
COTIUSDT/ETHUSDT,2022-06-12 00:00:00+00:00,2022-06-13 00:00:00+00:00,1,2.65,-17.805,-18.165,spread_blowout
BNBUSDT/UNIUSDT,2022-06-13 00:00:00+00:00,2022-06-14 00:00:00+00:00,1,-3.42,-2.563,-2.923,spread_blowout
DOGEUSDT/UNIUSDT,2022-06-13 00:00:00+00:00,2022-07-09 00:00:00+00:00,26,-2.19,-17.619,-17.979,spread_blowout
AVAXUSDT/DOGEUSDT,2022-06-13 00:00:00+00:00,2022-06-21 00:00:00+00:00,8,2.24,35.209,34.849,converged
BTCUSDT/XRPUSDT,2022-06-13 00:00:00+00:00,2022-06-14 00:00:00+00:00,1,-3.85,-3.253,-3.613,spread_blowout
BNBUSDT/SOLUSDT,2022-06-13 00:00:00+00:00,2022-06-16 00:00:00+00:00,3,-3.07,-7.843,-8.203,spread_blowout
DOGEUSDT/SOLUSDT,2022-06-13 00:00:00+00:00,2022-06-18 00:00:00+00:00,5,-3.02,-9.145,-9.505,spread_blowout
1000SHIBUSDT/DOGEUSDT,2022-06-13 00:00:00+00:00,2022-06-25 00:00:00+00:00,12,3.62,-3.701,-4.061,spread_blowout
AAVEUSDT/COTIUSDT,2022-06-13 00:00:00+00:00,2022-06-18 00:00:00+00:00,5,-2.99,-9.447,-9.807,spread_blowout
ETHUSDT/UNIUSDT,2022-06-13 00:00:00+00:00,2022-06-14 00:00:00+00:00,1,-3.34,-4.02,-4.38,spread_blowout
BNBUSDT/ZECUSDT,2022-06-13 00:00:00+00:00,2022-07-06 00:00:00+00:00,23,-2.16,13.128,12.768,converged
AAVEUSDT/LINKUSDT,2022-06-13 00:00:00+00:00,2022-06-18 00:00:00+00:00,5,-2.53,-18.774,-19.134,spread_blowout
BNBUSDT/XRPUSDT,2022-06-13 00:00:00+00:00,2022-06-16 00:00:00+00:00,3,-3.6,-6.098,-6.458,spread_blowout
BTCUSDT/UNIUSDT,2022-06-13 00:00:00+00:00,2022-06-14 00:00:00+00:00,1,-3.35,-4.42,-4.78,spread_blowout
DOGEUSDT/XRPUSDT,2022-06-13 00:00:00+00:00,2022-07-13 00:00:00+00:00,30,-2.71,10.451,10.091,time_stop
LINKUSDT/XRPUSDT,2022-06-14 00:00:00+00:00,2022-07-14 00:00:00+00:00,30,2.74,11.201,10.841,time_stop
ADAUSDT/ZECUSDT,2022-06-14 00:00:00+00:00,2022-07-14 00:00:00+00:00,30,2.26,-1.401,-1.761,time_stop
AVAXUSDT/BNBUSDT,2022-06-14 00:00:00+00:00,2022-06-18 00:00:00+00:00,4,2.52,-28.34,-28.7,spread_blowout
1000SHIBUSDT/BNBUSDT,2022-06-14 00:00:00+00:00,2022-06-16 00:00:00+00:00,2,3.31,-10.548,-10.908,spread_blowout
DOGEUSDT/LINKUSDT,2022-06-14 00:00:00+00:00,2022-07-14 00:00:00+00:00,30,-3.55,16.564,16.204,time_stop
BTCUSDT/SOLUSDT,2022-06-14 00:00:00+00:00,2022-06-17 00:00:00+00:00,3,-2.29,-9.364,-9.724,spread_blowout
1000SHIBUSDT/LINKUSDT,2022-06-14 00:00:00+00:00,2022-06-25 00:00:00+00:00,11,-2.52,28.55,28.19,converged
COTIUSDT/DOGEUSDT,2022-06-14 00:00:00+00:00,2022-06-26 00:00:00+00:00,12,2.85,31.498,31.138,converged
AVAXUSDT/BTCUSDT,2022-06-14 00:00:00+00:00,2022-06-18 00:00:00+00:00,4,2.52,-35.066,-35.426,spread_blowout
LINKUSDT/UNIUSDT,2022-06-15 00:00:00+00:00,2022-06-21 00:00:00+00:00,6,2.12,14.859,14.499,converged
AAVEUSDT/UNIUSDT,2022-06-15 00:00:00+00:00,2022-06-22 00:00:00+00:00,7,-2.09,-19.478,-19.838,spread_blowout
BNBUSDT/UNIUSDT,2022-06-15 00:00:00+00:00,2022-06-16 00:00:00+00:00,1,-3.83,-3.102,-3.462,spread_blowout
ADAUSDT/COTIUSDT,2022-06-15 00:00:00+00:00,2022-07-10 00:00:00+00:00,25,2.02,13.151,12.791,converged
DOGEUSDT/ETHUSDT,2022-06-15 00:00:00+00:00,2022-06-21 00:00:00+00:00,6,2.79,-14.157,-14.517,spread_blowout
COTIUSDT/LINKUSDT,2022-06-15 00:00:00+00:00,2022-07-15 00:00:00+00:00,30,-2.29,17.238,16.878,time_stop
BTCUSDT/COTIUSDT,2022-06-15 00:00:00+00:00,2022-06-16 00:00:00+00:00,1,-3.69,-3.966,-4.326,spread_blowout
BTCUSDT/ZECUSDT,2022-06-16 00:00:00+00:00,2022-07-16 00:00:00+00:00,30,-2.04,-0.381,-0.741,time_stop
BNBUSDT/COTIUSDT,2022-06-16 00:00:00+00:00,2022-06-18 00:00:00+00:00,2,-3.89,-4.568,-4.928,spread_blowout
1000SHIBUSDT/BTCUSDT,2022-06-16 00:00:00+00:00,2022-06-18 00:00:00+00:00,2,3.21,-11.228,-11.588,spread_blowout
UNIUSDT/ZECUSDT,2022-06-16 00:00:00+00:00,2022-06-22 00:00:00+00:00,6,2.05,-18.854,-19.214,spread_blowout
XRPUSDT/ZECUSDT,2022-06-16 00:00:00+00:00,2022-07-16 00:00:00+00:00,30,2.21,-4.2,-4.56,time_stop
BNBUSDT/XRPUSDT,2022-06-17 00:00:00+00:00,2022-06-18 00:00:00+00:00,1,-3.19,-6.722,-7.082,spread_blowout
LINKUSDT/ZECUSDT,2022-06-17 00:00:00+00:00,2022-07-17 00:00:00+00:00,30,2.01,-5.326,-5.686,time_stop
1000SHIBUSDT/BNBUSDT,2022-06-17 00:00:00+00:00,2022-06-18 00:00:00+00:00,1,2.85,-13.149,-13.509,spread_blowout
BNBUSDT/SOLUSDT,2022-06-17 00:00:00+00:00,2022-06-18 00:00:00+00:00,1,-3.05,-10.812,-11.172,spread_blowout
BTCUSDT/COTIUSDT,2022-06-17 00:00:00+00:00,2022-06-18 00:00:00+00:00,1,-3.78,-4.107,-4.467,spread_blowout
BNBUSDT/UNIUSDT,2022-06-18 00:00:00+00:00,2022-06-21 00:00:00+00:00,3,-3.91,-4.081,-4.441,spread_blowout
AAVEUSDT/XRPUSDT,2022-06-18 00:00:00+00:00,2022-07-09 00:00:00+00:00,21,-2.6,37.874,37.514,converged
AVAXUSDT/SOLUSDT,2022-06-18 00:00:00+00:00,2022-07-18 00:00:00+00:00,30,-2.09,8.853,8.493,time_stop
AAVEUSDT/SOLUSDT,2022-06-18 00:00:00+00:00,2022-07-09 00:00:00+00:00,21,-3.02,36.715,36.355,converged
AAVEUSDT/AVAXUSDT,2022-06-18 00:00:00+00:00,2022-07-09 00:00:00+00:00,21,-2.04,32.382,32.022,converged
BNBUSDT/DOGEUSDT,2022-06-18 00:00:00+00:00,2022-07-17 00:00:00+00:00,29,-2.47,11.575,11.215,converged
BTCUSDT/DOGEUSDT,2022-06-18 00:00:00+00:00,2022-06-26 00:00:00+00:00,8,-2.18,-11.358,-11.718,spread_blowout
AVAXUSDT/BTCUSDT,2022-06-19 00:00:00+00:00,2022-07-19 00:00:00+00:00,30,2.11,-8.258,-8.618,time_stop
1000SHIBUSDT/BTCUSDT,2022-06-19 00:00:00+00:00,2022-06-21 00:00:00+00:00,2,2.16,-24.483,-24.843,spread_blowout
AAVEUSDT/COTIUSDT,2022-06-19 00:00:00+00:00,2022-07-09 00:00:00+00:00,20,-2.53,34.101,33.741,converged
AAVEUSDT/LINKUSDT,2022-06-19 00:00:00+00:00,2022-07-09 00:00:00+00:00,20,-3.05,43.247,42.887,converged
AVAXUSDT/ETHUSDT,2022-06-20 00:00:00+00:00,2022-07-20 00:00:00+00:00,30,2.84,22.663,22.303,time_stop
DOGEUSDT/SOLUSDT,2022-06-20 00:00:00+00:00,2022-06-29 00:00:00+00:00,9,-2.11,16.994,16.634,converged
COTIUSDT/ETHUSDT,2022-06-20 00:00:00+00:00,2022-07-20 00:00:00+00:00,30,2.18,24.269,23.909,time_stop
BTCUSDT/COTIUSDT,2022-06-20 00:00:00+00:00,2022-07-20 00:00:00+00:00,30,-3.09,6.115,5.755,time_stop
1000SHIBUSDT/ETHUSDT,2022-06-20 00:00:00+00:00,2022-06-21 00:00:00+00:00,1,2.18,-27.314,-27.674,spread_blowout
BNBUSDT/COTIUSDT,2022-06-20 00:00:00+00:00,2022-07-20 00:00:00+00:00,30,-2.7,11.983,11.623,time_stop
BNBUSDT/XRPUSDT,2022-06-20 00:00:00+00:00,2022-07-20 00:00:00+00:00,30,-2.35,10.473,10.113,time_stop
BNBUSDT/SOLUSDT,2022-06-20 00:00:00+00:00,2022-07-20 00:00:00+00:00,30,-2.95,10.014,9.654,time_stop
COTIUSDT/UNIUSDT,2022-06-21 00:00:00+00:00,2022-06-23 00:00:00+00:00,2,-2.39,-14.163,-14.523,spread_blowout
1000SHIBUSDT/XRPUSDT,2022-06-21 00:00:00+00:00,2022-07-21 00:00:00+00:00,30,2.98,1.661,1.301,time_stop
1000SHIBUSDT/BNBUSDT,2022-06-21 00:00:00+00:00,2022-07-21 00:00:00+00:00,30,3.74,24.301,23.941,time_stop
AAVEUSDT/BTCUSDT,2022-06-21 00:00:00+00:00,2022-07-09 00:00:00+00:00,18,2.55,-13.907,-14.267,spread_blowout
1000SHIBUSDT/ZECUSDT,2022-06-21 00:00:00+00:00,2022-07-21 00:00:00+00:00,30,2.18,-19.514,-19.874,time_stop
UNIUSDT/XRPUSDT,2022-06-21 00:00:00+00:00,2022-06-22 00:00:00+00:00,1,3.3,-6.326,-6.686,spread_blowout
ADAUSDT/UNIUSDT,2022-06-22 00:00:00+00:00,2022-07-08 00:00:00+00:00,16,-2.53,-12.208,-12.568,spread_blowout
1000SHIBUSDT/AVAXUSDT,2022-06-22 00:00:00+00:00,2022-07-01 00:00:00+00:00,9,3.42,-3.452,-3.812,spread_blowout
ADAUSDT/LINKUSDT,2022-06-22 00:00:00+00:00,2022-07-22 00:00:00+00:00,30,-2.09,2.881,2.521,time_stop
1000SHIBUSDT/BTCUSDT,2022-06-22 00:00:00+00:00,2022-07-22 00:00:00+00:00,30,3.06,3.088,2.728,time_stop
DOGEUSDT/ETHUSDT,2022-06-22 00:00:00+00:00,2022-06-26 00:00:00+00:00,4,3.34,-4.453,-4.813,spread_blowout
AVAXUSDT/UNIUSDT,2022-06-22 00:00:00+00:00,2022-06-23 00:00:00+00:00,1,-3.6,-7.745,-8.105,spread_blowout
LINKUSDT/UNIUSDT,2022-06-23 00:00:00+00:00,2022-07-08 00:00:00+00:00,15,-2.31,-12.64,-13.0,spread_blowout
SOLUSDT/UNIUSDT,2022-06-23 00:00:00+00:00,2022-07-09 00:00:00+00:00,16,-2.59,-19.05,-19.41,spread_blowout
1000SHIBUSDT/UNIUSDT,2022-06-23 00:00:00+00:00,2022-07-14 00:00:00+00:00,21,-2.25,-23.775,-24.135,spread_blowout
AAVEUSDT/UNIUSDT,2022-06-23 00:00:00+00:00,2022-07-23 00:00:00+00:00,30,-3.43,2.831,2.471,time_stop
BNBUSDT/BTCUSDT,2022-06-24 00:00:00+00:00,2022-07-24 00:00:00+00:00,30,2.35,-2.717,-3.077,time_stop
COTIUSDT/UNIUSDT,2022-06-24 00:00:00+00:00,2022-07-07 00:00:00+00:00,13,-2.77,-11.509,-11.869,spread_blowout
UNIUSDT/XRPUSDT,2022-06-24 00:00:00+00:00,2022-07-04 00:00:00+00:00,10,2.61,-8.938,-9.298,spread_blowout
1000SHIBUSDT/ETHUSDT,2022-06-24 00:00:00+00:00,2022-07-24 00:00:00+00:00,30,2.51,24.208,23.848,time_stop
UNIUSDT/ZECUSDT,2022-06-25 00:00:00+00:00,2022-06-30 00:00:00+00:00,5,3.08,-10.453,-10.813,spread_blowout
AVAXUSDT/UNIUSDT,2022-06-25 00:00:00+00:00,2022-07-09 00:00:00+00:00,14,-2.42,-31.445,-31.805,spread_blowout
SOLUSDT/ZECUSDT,2022-06-26 00:00:00+00:00,2022-07-26 00:00:00+00:00,30,2.06,-10.502,-10.862,time_stop
DOGEUSDT/ZECUSDT,2022-06-26 00:00:00+00:00,2022-07-26 00:00:00+00:00,30,2.07,2.664,2.304,time_stop
BTCUSDT/DOGEUSDT,2022-06-27 00:00:00+00:00,2022-07-27 00:00:00+00:00,30,-2.93,15.317,14.957,time_stop
DOGEUSDT/ETHUSDT,2022-06-27 00:00:00+00:00,2022-07-16 00:00:00+00:00,19,2.85,22.874,22.514,converged
AVAXUSDT/ZECUSDT,2022-06-28 00:00:00+00:00,2022-07-28 00:00:00+00:00,30,2.03,-14.836,-15.196,time_stop
COTIUSDT/ZECUSDT,2022-06-30 00:00:00+00:00,2022-07-30 00:00:00+00:00,30,2.08,4.917,4.557,time_stop
1000SHIBUSDT/SOLUSDT,2022-06-30 00:00:00+00:00,2022-07-30 00:00:00+00:00,30,2.15,8.602,8.242,time_stop
1000SHIBUSDT/AVAXUSDT,2022-07-02 00:00:00+00:00,2022-08-01 00:00:00+00:00,30,2.36,7.782,7.422,time_stop
UNIUSDT/XRPUSDT,2022-07-05 00:00:00+00:00,2022-07-09 00:00:00+00:00,4,2.49,-14.425,-14.785,spread_blowout
COTIUSDT/UNIUSDT,2022-07-08 00:00:00+00:00,2022-07-13 00:00:00+00:00,5,-3.03,-13.655,-14.015,spread_blowout
AAVEUSDT/BNBUSDT,2022-07-09 00:00:00+00:00,2022-07-14 00:00:00+00:00,5,2.69,-14.045,-14.405,spread_blowout
AAVEUSDT/ZECUSDT,2022-07-09 00:00:00+00:00,2022-07-14 00:00:00+00:00,5,2.62,-17.466,-17.826,spread_blowout
AAVEUSDT/ETHUSDT,2022-07-09 00:00:00+00:00,2022-08-08 00:00:00+00:00,30,2.41,15.883,15.523,time_stop
AAVEUSDT/BTCUSDT,2022-07-10 00:00:00+00:00,2022-07-14 00:00:00+00:00,4,2.69,-17.818,-18.178,spread_blowout
1000SHIBUSDT/DOGEUSDT,2022-07-11 00:00:00+00:00,2022-08-10 00:00:00+00:00,30,2.07,-1.043,-1.403,time_stop
UNIUSDT/XRPUSDT,2022-07-12 00:00:00+00:00,2022-07-14 00:00:00+00:00,2,2.25,-18.148,-18.508,spread_blowout
AVAXUSDT/UNIUSDT,2022-07-12 00:00:00+00:00,2022-07-28 00:00:00+00:00,16,-2.17,-66.297,-66.657,spread_blowout
SOLUSDT/UNIUSDT,2022-07-12 00:00:00+00:00,2022-07-27 00:00:00+00:00,15,-2.32,-36.684,-37.044,spread_blowout
AAVEUSDT/DOGEUSDT,2022-07-13 00:00:00+00:00,2022-08-12 00:00:00+00:00,30,2.02,-17.872,-18.232,time_stop
AAVEUSDT/COTIUSDT,2022-07-13 00:00:00+00:00,2022-08-12 00:00:00+00:00,30,2.19,0.821,0.461,time_stop
AAVEUSDT/ADAUSDT,2022-07-14 00:00:00+00:00,2022-08-13 00:00:00+00:00,30,2.53,13.807,13.447,time_stop
AAVEUSDT/XRPUSDT,2022-07-14 00:00:00+00:00,2022-08-13 00:00:00+00:00,30,2.42,-3.924,-4.284,time_stop
ADAUSDT/COTIUSDT,2022-07-15 00:00:00+00:00,2022-07-23 00:00:00+00:00,8,-2.54,13.275,12.915,converged
1000SHIBUSDT/UNIUSDT,2022-07-15 00:00:00+00:00,2022-07-16 00:00:00+00:00,1,-3.5,-9.647,-10.007,spread_blowout
AAVEUSDT/ZECUSDT,2022-07-15 00:00:00+00:00,2022-08-14 00:00:00+00:00,30,2.87,6.424,6.064,time_stop
AAVEUSDT/BNBUSDT,2022-07-15 00:00:00+00:00,2022-07-29 00:00:00+00:00,14,3.45,28.416,28.056,converged
AVAXUSDT/DOGEUSDT,2022-07-16 00:00:00+00:00,2022-08-15 00:00:00+00:00,30,2.01,3.683,3.323,time_stop
BTCUSDT/ETHUSDT,2022-07-16 00:00:00+00:00,2022-08-05 00:00:00+00:00,20,-2.55,-7.499,-7.859,spread_blowout
DOGEUSDT/SOLUSDT,2022-07-18 00:00:00+00:00,2022-08-14 00:00:00+00:00,27,-2.14,16.743,16.383,converged
1000SHIBUSDT/UNIUSDT,2022-07-18 00:00:00+00:00,2022-07-28 00:00:00+00:00,10,-2.74,-32.651,-33.011,spread_blowout
ETHUSDT/ZECUSDT,2022-07-18 00:00:00+00:00,2022-08-17 00:00:00+00:00,30,2.53,-1.533,-1.893,time_stop
